reference_no,record_type,ref_type,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,publisher,pubcity,pubvol,pubno,firstpage,lastpage,publication_type,language,doi
1437,ref,occ,R. J.,Emry,,,,1979,Review of Toxotherium (Perissodactyla: Rhinocerotoidea) with new material from the early Oligocene of Wyoming,Proceedings of the Biological Society of Washington,,NA,NA,92,1,28,41,journal article,English,
10485,ref,occ,J. B.,Hatcher,,,,1903,A new sauropod dinosaur from the Jurassic of Colorado,Proceedings of the Biological Society of Washington,,NA,NA,16,,1,2,journal article,English,
11898,ref,occ,C. E.,Ray,,,,1975,The relationshiops of Hemicaulodon effodiens Cope 1869 (Mammalia; Odobenidae),Proceedings of the Biological Society of Washington,,NA,NA,88,26,282,304,journal article,English,
12162,ref,occ,R.,Kellogg,,,,1931,"Pelagic mammals of the Temblor Formation of the Kern River region, California",Proceedings of the California Academy of Science,,NA,NA,19,12,217,397,journal article,English,
11604,ref,occ,R. D.,Hoare,,,,2000,Silurian Polyplacophora and Rostroconchia (Mollusca) from Northern California,Proceedings of the California Academy of Sciences,,NA,NA,52,3,23,31,journal article,English,
12464,ref,occ,C. V.,Zeigler,G. L.,Chan,L. G. Barnes,1997,"A new late Miocene balaenopterid whale (Cetacea: Mysticeti), Parabalaenoptera baulinensis, (new genus and species) from the Santa Cruz Mudstone, Point Reyes Peninsula, California",Proceedings of the California Academy of Sciences,,NA,NA,50,4,115,138,journal article,English,
10823,ref,occ,T.,Wright,,,,1852,Contributions to the palaeontology of the Isle of Wight,Proceedings of the Cottleswold Naturalist's Field Club,,NA,NA,,,229,234,journal article,English,
3652,ref,occ,T. E.,Williamson,S. G.,Lucas,R. K. Stucky,1996,,Proceedings of the Denver Museum of Natural History,,NA,NA,3,13;1-3,,,journal article,English,
8336,ref,occ,P. C.,Ensom,,,,1987,A remarkable new vertebrate site in the Purbeck Limestone Formation on the Isle of Purbeck,Proceedings of the Dorset Natural History and Archaeological Society,,NA,NA,108,,205,206,journal article,English,
10373,ref,occ,C.,Van der Vyver,,,,1985,An ammonite fauna preserved in rock fragments dredged from Lyme Bay,Proceedings of the Dorset Natural History and Archaeological Society,,NA,NA,106,,168,169,journal article,English,
10070,ref,occ,L.,Hints,,,,1998,Oandu stage (Caradoc) in central North Estonia,Proceedings of the Estonian Academy of Science,,NA,NA,47,3,158,172,journal article,English,
12309,ref,occ,A. V.,Zhuravlev,,,,1999,"Conodonts of the Polygnathus pollocki Druce group (Upper Devonian, Lower Frasnian) from the East European Platform",Proceedings of the Estonian Academy of Sciences. Geology.,,NA,NA,48,1,35,47,journal article,English,
6573,ref,occ,M.C.,Hewitt,R. J.,Cuffey,,1985,"Lichenaliid-Fistuliporoid crust-mounds (Silurian, New York-Ontario), typical early Paleozoic bryozoan reefs","Proceedings of the Fifth International Coral Reef Congress, Tahiti",,NA,NA,6,,,,serial monograph,English,
4296,ref,occ,W. H.,Gillespie,G.J.,Hennen,C. Balasco,1975,Plant Megafossils from Dunkard Strata in Northwestern West Virginia and Southwestern Pennsylvania,"Proceedings of the First I.C. White Memorial Symposium ""The Age of the Dunkard""",,NA,NA,,,,,journal article,English,
8767,ref,occ,T. E.,Bolton,,,,1962,Additional Arcticopora from the Triassic of Northwestern Ellesmere Island.,Proceedings of the Geological Association of Canada,,NA,NA,13,,55,59,journal article,English,
8766,ref,occ,M. A.,Fritz,,,,1962,"A new bryozoan genus from Lake Hazen, Northeastern Ellesmere Island",Proceedings of the Geological Association of Canada,,NA,NA,13,,53,54,journal article,English,
12787,ref,occ,T. H.,Huxley,,,,1864,"On the cetacean fossils termed Ziphius by Cuvier, with a notice of a new species (Belemnoziphius compressus) from the Red Crag",Proceedings of the Geological Society,,NA,NA,20,,388,396,journal article,English,
3983,ref,occ,A. C.,Scott,D.,Edwards,W. D. I. Rolfe,1976,"Fossiliferous Lower Old Red Sandstone near Cardross, Dumbartonshire",Proceedings of the Geological Society of Glasgow,,NA,NA,117,,4,5,journal article,English,
7909,ref,occ,D.,Ager,V.,,,1955,The geographical distribution of brachiopods in the British Middle Lias,Proceedings of the Geologists Association,,NA,NA,65,,157,187,journal article,English,
8613,ref,occ,D. J.,Batten,,,,1974,Wealden Palaeoecology from the Distribution of Plant Fossils,Proceedings of the Geologists' Association,,NA,NA,85,4,433,458,journal article,English,
9528,ref,occ,L.,Beauvais,P.,Negus,,1975,The Fairford coral beds,Proceedings of the Geologists' Association,,NA,NA,86,,183,204,journal article,English,
13293,ref,occ,M.L.K.,Curtis,,,,1972,"The Silurian rocks of the Tortworth Inlier, Gloucestershire",Proceedings of the Geologists' Association,,NA,NA,83,1,1,35,,English,
8863,ref,occ,M.,Edmunds,M.,Varah,A. Bentley,2003,"The ammonite biostratigraphy of the Lower Lias ""Armatum Bed"" (Upper Sinemurian-Lower Pliensbachian) at St Peter's Field, Radstock, Somerset",Proceedings of the Geologists' Association,,NA,NA,114,1,65,96,journal article,English,
11085,ref,occ,D. N.,Lewis,S. K.,Donovan,P. Sawforn,2003,"Fossil echinoderms from the Carboniferous Limestone sea defence blocks at Barton-on-sea, Hampshire, southern England",Proceedings of the Geologists' Association,,NA,NA,114,3,307,317,journal article,English,
9526,ref,occ,P. E.,Negus,L.,Beauvais,,1979,"The corals of Steeple Ashton, Wiltshire (English upper Oxfordian)",Proceedings of the Geologists' Association,,NA,NA,90,4,213,227,journal article,English,
