"reference_no","samp_country","aff_country"
58912,"China","USA"
69483,"China","China"
69483,"China","USA"
69483,"China","Germany"
69483,"China","Canada"
69507,"China","China"
69507,"China","USA"
69507,"China","Germany"
69507,"China","Canada"
65611,"China","China"
60439,"China","China"
56739,"Myanmar (Burma)","Japan"
59150,"Myanmar (Burma)","Japan"
57157,"Myanmar (Burma)","Japan"
57157,"Myanmar (Burma)","Denmark"
64502,"China","China"
64502,"China","UK"
58336,"Japan","Japan"
58336,"Japan","China"
60177,"Myanmar (Burma)","China"
60177,"Myanmar (Burma)","Australia"
60345,"Myanmar (Burma)","China"
58480,"China","China"
67808,"China","China"
67808,"China","South Korea"
59700,"Myanmar (Burma)","China"
57061,"China","China"
67011,"China","China"
67011,"China","USA"
60804,"Myanmar (Burma)","China"
60804,"Myanmar (Burma)","Russia"
59530,"Myanmar (Burma)","China"
59530,"Myanmar (Burma)","UK"
61332,"Myanmar (Burma)","China"
61332,"Myanmar (Burma)","Hong Kong"
61332,"Myanmar (Burma)","UK"
60805,"Myanmar (Burma)","China"
60805,"Myanmar (Burma)","Hong Kong"
60805,"Myanmar (Burma)","UK"
57810,"China","Hong Kong"
57810,"China","China"
57810,"China","France"
57810,"China","UK"
57887,"China","China"
57887,"China","France"
57887,"China","UK"
59190,"Myanmar (Burma)","China"
59190,"Myanmar (Burma)","UK"
59190,"Myanmar (Burma)","France"
59942,"Myanmar (Burma)","China"
59942,"Myanmar (Burma)","Hong Kong"
59942,"Myanmar (Burma)","UK"
59942,"Myanmar (Burma)","France"
59890,"China","China"
59890,"China","Hong Kong"
59890,"China","UK"
58624,"Myanmar (Burma)","China"
58624,"Myanmar (Burma)","Hong Kong"
60523,"India","Germany"
60523,"India","India"
53957,"Russia","Russia"
54584,"Russia","Russia"
55446,"Portugal","Portugal"
55446,"Portugal","UK"
55446,"Portugal","USA"
55446,"Portugal","Germany"
55446,"Portugal","Austria"
55446,"Portugal","Poland"
53578,"Myanmar (Burma)","Lebanon"
53578,"Myanmar (Burma)","China"
53578,"Myanmar (Burma)","France"
53696,"Lebanon","Lebanon"
53696,"Lebanon","China"
53696,"Lebanon","France"
53721,"USA","Lebanon"
53722,"USA","Lebanon"
55721,"Spain","Spain"
53731,"Brazil","UK"
53731,"Brazil","USA"
53050,"Canada","Australia"
53050,"Canada","Canada"
53050,"Canada","USA"
53050,"Canada","UK"
62769,"France","France"
53786,"Peru","Italy"
53786,"Peru","Peru"
53786,"Peru","Belgium"
56254,"Spain","Spain"
56254,"Spain","UK"
62593,"Brazil","Brazil"
62593,"Brazil","Germany"
62324,"China","Canada"
62324,"China","Thailand"
62324,"China","China"
62324,"China","Belgium"
61829,"Myanmar (Burma)","Belgium"
61829,"Myanmar (Burma)","France"
61829,"Myanmar (Burma)","UK"
64543,"Canada","Canada"
63999,"Bolivia","Ecuador"
63999,"Bolivia","Bolivia"
63999,"Bolivia","USA"
61428,"China","China"
61428,"China","Australia"
53715,"Myanmar (Burma)","China"
56705,"Myanmar (Burma)","China"
53714,"China","China"
53714,"China","Australia"
54215,"Brazil","Brazil"
54215,"Brazil","Spain"
55065,"Panama","Switzerland"
55065,"Panama","Panama"
55065,"Panama","USA"
55065,"Panama","Brazil"
55065,"Panama","Argentina"
72593,"Argentina","Argentina"
53701,"China","China"
56024,"Italy","Italy"
56024,"Italy","UK"
53930,"Syria","France"
53930,"Syria","Syria"
53930,"Syria","Lebanon"
54353,"Libya","USA"
54353,"Libya","Libya"
54353,"Libya","France"
57045,"China","China"
57045,"China","Germany"
57045,"China","France"
69279,"Russia","USA"
69279,"Russia","Russia"
56173,"Argentina","Argentina"
54127,"Myanmar (Burma)","China"
53699,"Lebanon","Poland"
55483,"Myanmar (Burma)","Germany"
55483,"Myanmar (Burma)","Namibia"
55483,"Myanmar (Burma)","USA"
56733,"Morocco","Sweden"
56733,"Morocco","France"
54651,"Myanmar (Burma)","USA"
54651,"Myanmar (Burma)","China"
54651,"Myanmar (Burma)","Lebanon"
54651,"Myanmar (Burma)","France"
55445,"Morocco","Canada"
55445,"Morocco","UK"
