"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Czech Republic","CZE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1252.42638","1216.8299","1217.25267","1313.26026","1346.24335","1459.15571","1460.55587","1543.97793","1591.85157","2356.08067","2550.5671","2691.54938","2857.02226","2742.07513","2773.95996","2903.66154","3139.23525","3237.23584","3402.82622","3592.07367","3516.17175","3682.03353","3862.67088","","",
"Germany","DEU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2830.52913","2896.74656","2920.19895","3129.2693","3167.95093","3245.82431","3260.09201","3295.27713","3309.57342","3335.03503","3434.56922","3578.50351","3733.27645","3922.21205","4058.00596","4188.80831","4352.32261","4366.6912","4320.70432","4743.7863","4861.74717","5076.51794","5211.87408","","",
"Djibouti","DJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3177.82015","3317.91566","","3559.90315","","3630.60375","4754.85692","4618.92274","4843.25403","5197.44741","5298.45015","5516.35572","6493.89539","6656.97016","6739.18115","7017.93917","7143.2887","7071.13776","7310.65804","7528.26439","7846.65759","7924.95265","8065.88729","","",
"Dominican Republic","DOM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.71935","","","","","","","","","","","","819.3427","","","",
"East Asia & Pacific (excluding high income)","EAP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416.577401661793","433.061040363197","364.814518625023","389.43213915831","488.488178988308","493.497363467303","532.037033460742","604.759851349329","696.28715332604","771.792829769428","903.670658141363","965.07057970507","1164.8482015262","687.264844630772","896.527313676552","897.688279263012","1030.66832282473","979.037124256611","1103.03651449849","1060.06424792426","1060.43553656974","1026.07304259407","1131.22622399747","","",
"Early-demographic dividend","EAR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182.042346066696","","","","","","","","","","318.231761571344","","","","","",
"East Asia & Pacific","EAS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887.173535943372","871.068885377297","860.486951984256","848.501802841535","925.347043749597","901.21146343728","966.175966929886","1053.96106242052","1206.47665154955","1234.85665128007","1436.09118615249","1431.79218312811","1666.40151967059","1112.5692452659","1454.89990642994","1382.73772648632","1552.18804473032","1456.7958329227","1632.9473797469","1538.55197755835","1518.7604604624","1486.42783135599","1622.9219259203","","",
"Europe & Central Asia (excluding high income)","ECA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2169.35894293154","2130.15466608102","2099.67846971054","2003.8144902085","1939.32901832491","1892.7282422077","1876.37537372843","1880.69163406838","1905.50211686217","1896.87447991719","1883.53574733896","1882.89162931582","1908.054853622","1860.36199108628","1819.59109272025","1935.16547569849","","",
"Europe & Central Asia","ECS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2287.53742679578","2247.2773218909","2188.37650213751","2283.03631438731","2270.01322715047","2342.4742075764","2350.27301036551","2414.747313589","2532.24852718287","2581.83224031974","2572.33559599738","2569.32070585915","2639.18438243393","2660.30092524989","2711.08976485204","2736.03667277557","2811.98782056659","2838.35993575819","2872.88691373601","2988.22152152774","2998.04504130684","3114.62977902102","3373.03710073993","","",
"Ecuador","ECU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.99431","77.98216","83.12532","","","39.79971","41.84589","48.2435","","","70.05997","64.63095","102.6071","117.68404","140.58063","179.50769","281.16658","350.66109","399.48996","","","","","","",
"Egypt, Arab Rep.","EGY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630.98119","438.60396","433.32825","492.40565","491.76349","517.14349","539.02144","675.24227","672.94068","689.24608","677.10022","686.71743","","",
"Euro area","EMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2140.52165205414","2103.51304209291","2186.17590721899","2241.71223114306","2388.18633492169","2411.36793336856","2501.73416086038","2502.4679168053","2731.13132756728","2761.7522406464","2881.4639383981","2995.12147836276","3173.99979777495","3250.44537111062","3359.60501849905","3397.92186530352","3531.19273095465","3566.01241021564","3594.40686828635","3760.56304592373","3843.92237777933","4018.04050147365","4180.055427683","","",
